datetime,power
2026-09-12 00:00:00,0.0
2026-09-12 00:15:00,0.0
2026-09-12 00:30:00,0.0
2026-09-12 00:45:00,0.0
2026-09-12 01:00:00,0.0
2026-09-12 01:15:00,0.0
2026-09-12 01:30:00,0.0
2026-09-12 01:45:00,0.0
2026-09-12 02:00:00,0.0
2026-09-12 02:15:00,0.0
2026-09-12 02:30:00,0.0
2026-09-12 02:45:00,0.0
2026-09-12 03:00:00,0.0
2026-09-12 03:15:00,0.0
2026-09-12 03:30:00,0.0
2026-09-12 03:45:00,0.0
2026-09-12 04:00:00,0.0
2026-09-12 04:15:00,0.0
2026-09-12 04:30:00,0.0
2026-09-12 04:45:00,0.0
2026-09-12 05:00:00,0.0
2026-09-12 05:15:00,0.0
2026-09-12 05:30:00,0.0
2026-09-12 05:45:00,0.0
2026-09-12 06:00:00,0.0
2026-09-12 06:15:00,0.0
2026-09-12 06:30:00,0.0
2026-09-12 06:45:00,0.0
2026-09-12 07:00:00,0.028
2026-09-12 07:15:00,0.062
2026-09-12 07:30:00,0.143
2026-09-12 07:45:00,0.301
2026-09-12 08:00:00,0.533
2026-09-12 08:15:00,0.674
2026-09-12 08:30:00,0.859
2026-09-12 08:45:00,1.083
2026-09-12 09:00:00,1.311
2026-09-12 09:15:00,2.072
2026-09-12 09:30:00,3.234
2026-09-12 09:45:00,2.692
2026-09-12 10:00:00,3.255
2026-09-12 10:15:00,4.328
2026-09-12 10:30:00,4.656
2026-09-12 10:45:00,3.598
2026-09-12 11:00:00,3.2
2026-09-12 11:15:00,3.349
2026-09-12 11:30:00,3.235
2026-09-12 11:45:00,2.433
2026-09-12 12:00:00,2.556
2026-09-12 12:15:00,4.76
2026-09-12 12:30:00,8.833
2026-09-12 12:45:00,9.123
2026-09-12 13:00:00,8.645
2026-09-12 13:15:00,3.713
2026-09-12 13:30:00,3.695
2026-09-12 13:45:00,3.274
2026-09-12 14:00:00,5.254
2026-09-12 14:15:00,7.274
2026-09-12 14:30:00,7.533
2026-09-12 14:45:00,7.437
2026-09-12 15:00:00,5.785
2026-09-12 15:15:00,4.259
2026-09-12 15:30:00,2.127
2026-09-12 15:45:00,1.865
2026-09-12 16:00:00,1.402
2026-09-12 16:15:00,0.948
2026-09-12 16:30:00,0.743
2026-09-12 16:45:00,0.724
2026-09-12 17:00:00,0.565
2026-09-12 17:15:00,0.611
2026-09-12 17:30:00,0.563
2026-09-12 17:45:00,0.621
2026-09-12 18:00:00,0.426
2026-09-12 18:15:00,0.315
2026-09-12 18:30:00,0.277
2026-09-12 18:45:00,0.184
2026-09-12 19:00:00,0.116
2026-09-12 19:15:00,0.061
2026-09-12 19:30:00,0.02
2026-09-12 19:45:00,0.0
2026-09-12 20:00:00,0.0
2026-09-12 20:15:00,0.0
2026-09-12 20:30:00,0.0
2026-09-12 20:45:00,0.0
2026-09-12 21:00:00,0.0
2026-09-12 21:15:00,0.0
2026-09-12 21:30:00,0.0
2026-09-12 21:45:00,0.0
2026-09-12 22:00:00,0.0
2026-09-12 22:15:00,0.0
2026-09-12 22:30:00,0.0
2026-09-12 22:45:00,0.0
2026-09-12 23:00:00,0.0
2026-09-12 23:15:00,0.0
2026-09-12 23:30:00,0.0
2026-09-12 23:45:00,0.0
