datetime,irradiance,power
2026-08-29 00:00:00,0.0,0.0
2026-08-29 01:00:00,0.0,0.0
2026-08-29 02:00:00,0.0,0.0
2026-08-29 03:00:00,0.0,0.0
2026-08-29 04:00:00,0.0,0.0
2026-08-29 05:00:00,0.0,0.0
2026-08-29 06:00:00,0.0,0.0
2026-08-29 07:00:00,12.8,0.057600000000000005
2026-08-29 08:00:00,222.9,1.00305
2026-08-29 09:00:00,492.1,2.2144500000000003
2026-08-29 10:00:00,714.1,3.21345
2026-08-29 11:00:00,832.3,3.74535
2026-08-29 12:00:00,632.3,2.8453500000000003
2026-08-29 13:00:00,576.8,2.5956
2026-08-29 14:00:00,716.7,3.22515
2026-08-29 15:00:00,474.6,2.1357000000000004
2026-08-29 16:00:00,384.5,1.73025
2026-08-29 17:00:00,264.4,1.1898000000000002
2026-08-29 18:00:00,130.3,0.58635
2026-08-29 19:00:00,84.1,0.37845
2026-08-29 20:00:00,32.9,0.14805000000000001
2026-08-29 21:00:00,0.0,0.0
2026-08-29 22:00:00,0.0,0.0
2026-08-29 23:00:00,0.0,0.0
2026-08-30 00:00:00,0.0,0.0
2026-08-30 01:00:00,0.0,0.0
2026-08-30 02:00:00,0.0,0.0
2026-08-30 03:00:00,0.0,0.0
2026-08-30 04:00:00,0.0,0.0
2026-08-30 05:00:00,0.0,0.0
2026-08-30 06:00:00,0.0,0.0
2026-08-30 07:00:00,1.8,0.0081
2026-08-30 08:00:00,116.7,0.52515
2026-08-30 09:00:00,212.8,0.9576000000000001
2026-08-30 10:00:00,330.1,1.4854500000000002
2026-08-30 11:00:00,313.1,1.40895
2026-08-30 12:00:00,422.3,1.90035
2026-08-30 13:00:00,408.1,1.8364500000000001
2026-08-30 14:00:00,401.0,1.8045
2026-08-30 15:00:00,351.8,1.5831
2026-08-30 16:00:00,347.2,1.5624
2026-08-30 17:00:00,249.0,1.1205
2026-08-30 18:00:00,171.0,0.7695
2026-08-30 19:00:00,93.0,0.41850000000000004
2026-08-30 20:00:00,30.7,0.13815
2026-08-30 21:00:00,0.0,0.0
2026-08-30 22:00:00,0.0,0.0
2026-08-30 23:00:00,0.0,0.0
