datetime,power
2026-08-30 00:00:00,0.0
2026-08-30 00:15:00,0.0
2026-08-30 00:30:00,0.0
2026-08-30 00:45:00,0.0
2026-08-30 01:00:00,0.0
2026-08-30 01:15:00,0.0
2026-08-30 01:30:00,0.0
2026-08-30 01:45:00,0.0
2026-08-30 02:00:00,0.0
2026-08-30 02:15:00,0.0
2026-08-30 02:30:00,0.0
2026-08-30 02:45:00,0.0
2026-08-30 03:00:00,0.0
2026-08-30 03:15:00,0.0
2026-08-30 03:30:00,0.0
2026-08-30 03:45:00,0.0
2026-08-30 04:00:00,0.0
2026-08-30 04:15:00,0.0
2026-08-30 04:30:00,0.0
2026-08-30 04:45:00,0.0
2026-08-30 05:00:00,0.0
2026-08-30 05:15:00,0.0
2026-08-30 05:30:00,0.0
2026-08-30 05:45:00,0.0
2026-08-30 06:00:00,0.0
2026-08-30 06:15:00,0.0
2026-08-30 06:30:00,0.019
2026-08-30 06:45:00,0.085
2026-08-30 07:00:00,0.333
2026-08-30 07:15:00,0.653
2026-08-30 07:30:00,0.912
2026-08-30 07:45:00,1.542
2026-08-30 08:00:00,1.296
2026-08-30 08:15:00,2.054
2026-08-30 08:30:00,2.202
2026-08-30 08:45:00,2.87
2026-08-30 09:00:00,3.365
2026-08-30 09:15:00,3.418
2026-08-30 09:30:00,3.659
2026-08-30 09:45:00,2.895
2026-08-30 10:00:00,1.455
2026-08-30 10:15:00,2.795
2026-08-30 10:30:00,1.534
2026-08-30 10:45:00,3.789
2026-08-30 11:00:00,4.215
2026-08-30 11:15:00,6.167
2026-08-30 11:30:00,4.41
2026-08-30 11:45:00,4.149
2026-08-30 12:00:00,6.079
2026-08-30 12:15:00,7.751
2026-08-30 12:30:00,4.377
2026-08-30 12:45:00,1.709
2026-08-30 13:00:00,3.15
2026-08-30 13:15:00,5.252
2026-08-30 13:30:00,3.474
2026-08-30 13:45:00,3.118
2026-08-30 14:00:00,2.746
2026-08-30 14:15:00,4.24
2026-08-30 14:30:00,2.692
2026-08-30 14:45:00,4.204
2026-08-30 15:00:00,3.924
2026-08-30 15:15:00,1.281
2026-08-30 15:30:00,3.404
2026-08-30 15:45:00,4.143
2026-08-30 16:00:00,3.465
2026-08-30 16:15:00,2.061
2026-08-30 16:30:00,2.219
2026-08-30 16:45:00,1.915
2026-08-30 17:00:00,1.736
2026-08-30 17:15:00,1.686
2026-08-30 17:30:00,1.319
2026-08-30 17:45:00,1.034
2026-08-30 18:00:00,1.279
2026-08-30 18:15:00,0.889
2026-08-30 18:30:00,0.615
2026-08-30 18:45:00,0.501
2026-08-30 19:00:00,0.319
2026-08-30 19:15:00,0.191
2026-08-30 19:30:00,0.147
2026-08-30 19:45:00,0.055
2026-08-30 20:00:00,0.006
2026-08-30 20:15:00,0.0
2026-08-30 20:30:00,0.0
2026-08-30 20:45:00,0.0
2026-08-30 21:00:00,0.0
2026-08-30 21:15:00,0.0
2026-08-30 21:30:00,0.0
2026-08-30 21:45:00,0.0
2026-08-30 22:00:00,0.0
2026-08-30 22:15:00,0.0
2026-08-30 22:30:00,0.0
2026-08-30 22:45:00,0.0
2026-08-30 23:00:00,0.0
2026-08-30 23:15:00,0.0
2026-08-30 23:30:00,0.0
2026-08-30 23:45:00,0.0
