datetime,power
2026-09-08 00:00:00,0.0
2026-09-08 00:15:00,0.0
2026-09-08 00:30:00,0.0
2026-09-08 00:45:00,0.0
2026-09-08 01:00:00,0.0
2026-09-08 01:15:00,0.0
2026-09-08 01:30:00,0.0
2026-09-08 01:45:00,0.0
2026-09-08 02:00:00,0.0
2026-09-08 02:15:00,0.0
2026-09-08 02:30:00,0.0
2026-09-08 02:45:00,0.0
2026-09-08 03:00:00,0.0
2026-09-08 03:15:00,0.0
2026-09-08 03:30:00,0.0
2026-09-08 03:45:00,0.0
2026-09-08 04:00:00,0.0
2026-09-08 04:15:00,0.0
2026-09-08 04:30:00,0.0
2026-09-08 04:45:00,0.0
2026-09-08 05:00:00,0.0
2026-09-08 05:15:00,0.0
2026-09-08 05:30:00,0.0
2026-09-08 05:45:00,0.0
2026-09-08 06:00:00,0.0
2026-09-08 06:15:00,0.0
2026-09-08 06:30:00,0.002
2026-09-08 06:45:00,0.035
2026-09-08 07:00:00,0.112
2026-09-08 07:15:00,0.22
2026-09-08 07:30:00,0.424
2026-09-08 07:45:00,1.004
2026-09-08 08:00:00,1.678
2026-09-08 08:15:00,2.053
2026-09-08 08:30:00,2.485
2026-09-08 08:45:00,2.81
2026-09-08 09:00:00,2.987
2026-09-08 09:15:00,3.286
2026-09-08 09:30:00,3.52
2026-09-08 09:45:00,3.711
2026-09-08 10:00:00,4.111
2026-09-08 10:15:00,4.572
2026-09-08 10:30:00,5.089
2026-09-08 10:45:00,5.637
2026-09-08 11:00:00,6.059
2026-09-08 11:15:00,6.473
2026-09-08 11:30:00,6.864
2026-09-08 11:45:00,7.185
2026-09-08 12:00:00,7.453
2026-09-08 12:15:00,7.733
2026-09-08 12:30:00,8.028
2026-09-08 12:45:00,8.172
2026-09-08 13:00:00,8.313
2026-09-08 13:15:00,8.397
2026-09-08 13:30:00,8.493
2026-09-08 13:45:00,8.511
2026-09-08 14:00:00,8.378
2026-09-08 14:15:00,8.155
2026-09-08 14:30:00,7.528
2026-09-08 14:45:00,6.641
2026-09-08 15:00:00,6.169
2026-09-08 15:15:00,5.76
2026-09-08 15:30:00,5.297
2026-09-08 15:45:00,4.645
2026-09-08 16:00:00,4.347
2026-09-08 16:15:00,3.588
2026-09-08 16:30:00,2.788
2026-09-08 16:45:00,2.255
2026-09-08 17:00:00,2.021
2026-09-08 17:15:00,1.901
2026-09-08 17:30:00,1.812
2026-09-08 17:45:00,1.66
2026-09-08 18:00:00,1.435
2026-09-08 18:15:00,1.141
2026-09-08 18:30:00,0.777
2026-09-08 18:45:00,0.261
2026-09-08 19:00:00,0.177
2026-09-08 19:15:00,0.107
2026-09-08 19:30:00,0.043
2026-09-08 19:45:00,0.005
2026-09-08 20:00:00,0.0
2026-09-08 20:15:00,0.0
2026-09-08 20:30:00,0.0
2026-09-08 20:45:00,0.0
2026-09-08 21:00:00,0.0
2026-09-08 21:15:00,0.0
2026-09-08 21:30:00,0.0
2026-09-08 21:45:00,0.0
2026-09-08 22:00:00,0.0
2026-09-08 22:15:00,0.0
2026-09-08 22:30:00,0.0
2026-09-08 22:45:00,0.0
2026-09-08 23:00:00,0.0
2026-09-08 23:15:00,0.0
2026-09-08 23:30:00,0.0
2026-09-08 23:45:00,0.0
