datetime,power
2026-08-25 00:00:00,0.0
2026-08-25 00:15:00,0.0
2026-08-25 00:30:00,0.0
2026-08-25 00:45:00,0.0
2026-08-25 01:00:00,0.0
2026-08-25 01:15:00,0.0
2026-08-25 01:30:00,0.0
2026-08-25 01:45:00,0.0
2026-08-25 02:00:00,0.0
2026-08-25 02:15:00,0.0
2026-08-25 02:30:00,0.0
2026-08-25 02:45:00,0.0
2026-08-25 03:00:00,0.0
2026-08-25 03:15:00,0.0
2026-08-25 03:30:00,0.0
2026-08-25 03:45:00,0.0
2026-08-25 04:00:00,0.0
2026-08-25 04:15:00,0.0
2026-08-25 04:30:00,0.0
2026-08-25 04:45:00,0.0
2026-08-25 05:00:00,0.0
2026-08-25 05:15:00,0.0
2026-08-25 05:30:00,0.0
2026-08-25 05:45:00,0.0
2026-08-25 06:00:00,0.0
2026-08-25 06:15:00,0.003
2026-08-25 06:30:00,0.029
2026-08-25 06:45:00,0.054
2026-08-25 07:00:00,0.091
2026-08-25 07:15:00,0.087
2026-08-25 07:30:00,0.09
2026-08-25 07:45:00,0.117
2026-08-25 08:00:00,0.217
2026-08-25 08:15:00,0.409
2026-08-25 08:30:00,0.676
2026-08-25 08:45:00,1.04
2026-08-25 09:00:00,1.489
2026-08-25 09:15:00,1.164
2026-08-25 09:30:00,1.373
2026-08-25 09:45:00,1.554
2026-08-25 10:00:00,1.253
2026-08-25 10:15:00,1.491
2026-08-25 10:30:00,1.969
2026-08-25 10:45:00,1.798
2026-08-25 11:00:00,2.802
2026-08-25 11:15:00,2.021
2026-08-25 11:30:00,1.586
2026-08-25 11:45:00,2.947
2026-08-25 12:00:00,2.612
2026-08-25 12:15:00,2.177
2026-08-25 12:30:00,1.898
2026-08-25 12:45:00,2.49
2026-08-25 13:00:00,2.029
2026-08-25 13:15:00,0.76
2026-08-25 13:30:00,0.989
2026-08-25 13:45:00,1.462
2026-08-25 14:00:00,2.239
2026-08-25 14:15:00,2.948
2026-08-25 14:30:00,3.34
2026-08-25 14:45:00,4.474
2026-08-25 15:00:00,3.315
2026-08-25 15:15:00,1.888
2026-08-25 15:30:00,1.515
2026-08-25 15:45:00,1.096
2026-08-25 16:00:00,1.131
2026-08-25 16:15:00,1.665
2026-08-25 16:30:00,2.916
2026-08-25 16:45:00,2.407
2026-08-25 17:00:00,2.265
2026-08-25 17:15:00,2.6
2026-08-25 17:30:00,1.406
2026-08-25 17:45:00,1.111
2026-08-25 18:00:00,1.167
2026-08-25 18:15:00,0.793
2026-08-25 18:30:00,0.466
2026-08-25 18:45:00,0.516
2026-08-25 19:00:00,0.718
2026-08-25 19:15:00,0.313
2026-08-25 19:30:00,0.039
2026-08-25 19:45:00,0.021
2026-08-25 20:00:00,0.0
2026-08-25 20:15:00,0.0
2026-08-25 20:30:00,0.0
2026-08-25 20:45:00,0.0
2026-08-25 21:00:00,0.0
2026-08-25 21:15:00,0.0
2026-08-25 21:30:00,0.0
2026-08-25 21:45:00,0.0
2026-08-25 22:00:00,0.0
2026-08-25 22:15:00,0.0
2026-08-25 22:30:00,0.0
2026-08-25 22:45:00,0.0
2026-08-25 23:00:00,0.0
2026-08-25 23:15:00,0.0
2026-08-25 23:30:00,0.0
2026-08-25 23:45:00,0.0
