datetime,power
2026-09-23 00:00:00,0.0
2026-09-23 00:15:00,0.0
2026-09-23 00:30:00,0.0
2026-09-23 00:45:00,0.0
2026-09-23 01:00:00,0.0
2026-09-23 01:15:00,0.0
2026-09-23 01:30:00,0.0
2026-09-23 01:45:00,0.0
2026-09-23 02:00:00,0.0
2026-09-23 02:15:00,0.0
2026-09-23 02:30:00,0.0
2026-09-23 02:45:00,0.0
2026-09-23 03:00:00,0.0
2026-09-23 03:15:00,0.0
2026-09-23 03:30:00,0.0
2026-09-23 03:45:00,0.0
2026-09-23 04:00:00,0.0
2026-09-23 04:15:00,0.0
2026-09-23 04:30:00,0.0
2026-09-23 04:45:00,0.0
2026-09-23 05:00:00,0.0
2026-09-23 05:15:00,0.0
2026-09-23 05:30:00,0.0
2026-09-23 05:45:00,0.0
2026-09-23 06:00:00,0.0
2026-09-23 06:15:00,0.0
2026-09-23 06:30:00,0.0
2026-09-23 06:45:00,0.0
2026-09-23 07:00:00,0.016
2026-09-23 07:15:00,0.064
2026-09-23 07:30:00,0.155
2026-09-23 07:45:00,0.271
2026-09-23 08:00:00,1.013
2026-09-23 08:15:00,2.147
2026-09-23 08:30:00,2.674
2026-09-23 08:45:00,2.984
2026-09-23 09:00:00,3.223
2026-09-23 09:15:00,3.438
2026-09-23 09:30:00,3.642
2026-09-23 09:45:00,3.946
2026-09-23 10:00:00,4.384
2026-09-23 10:15:00,4.92
2026-09-23 10:30:00,5.537
2026-09-23 10:45:00,6.079
2026-09-23 11:00:00,6.549
2026-09-23 11:15:00,7.009
2026-09-23 11:30:00,7.417
2026-09-23 11:45:00,7.754
2026-09-23 12:00:00,8.066
2026-09-23 12:15:00,8.336
2026-09-23 12:30:00,8.572
2026-09-23 12:45:00,8.721
2026-09-23 13:00:00,8.86
2026-09-23 13:15:00,8.92
2026-09-23 13:30:00,8.793
2026-09-23 13:45:00,8.473
2026-09-23 14:00:00,7.946
2026-09-23 14:15:00,7.289
2026-09-23 14:30:00,7.24
2026-09-23 14:45:00,6.365
2026-09-23 15:00:00,5.884
2026-09-23 15:15:00,5.221
2026-09-23 15:30:00,4.07
2026-09-23 15:45:00,3.022
2026-09-23 16:00:00,2.551
2026-09-23 16:15:00,1.865
2026-09-23 16:30:00,1.939
2026-09-23 16:45:00,1.858
2026-09-23 17:00:00,1.257
2026-09-23 17:15:00,1.376
2026-09-23 17:30:00,1.268
2026-09-23 17:45:00,1.099
2026-09-23 18:00:00,0.825
2026-09-23 18:15:00,0.405
2026-09-23 18:30:00,0.184
2026-09-23 18:45:00,0.199
2026-09-23 19:00:00,0.093
2026-09-23 19:15:00,0.01
2026-09-23 19:30:00,0.0
2026-09-23 19:45:00,0.0
2026-09-23 20:00:00,0.0
2026-09-23 20:15:00,0.0
2026-09-23 20:30:00,0.0
2026-09-23 20:45:00,0.0
2026-09-23 21:00:00,0.0
2026-09-23 21:15:00,0.0
2026-09-23 21:30:00,0.0
2026-09-23 21:45:00,0.0
2026-09-23 22:00:00,0.0
2026-09-23 22:15:00,0.0
2026-09-23 22:30:00,0.0
2026-09-23 22:45:00,0.0
2026-09-23 23:00:00,0.0
2026-09-23 23:15:00,0.0
2026-09-23 23:30:00,0.0
2026-09-23 23:45:00,0.0
