datetime,irradiance,power
2026-08-09 00:00:00,0.0,0.0
2026-08-09 01:00:00,0.0,0.0
2026-08-09 02:00:00,0.0,0.0
2026-08-09 03:00:00,0.0,0.0
2026-08-09 04:00:00,0.0,0.0
2026-08-09 05:00:00,0.0,0.0
2026-08-09 06:00:00,0.0,0.0
2026-08-09 07:00:00,61.4,0.2763
2026-08-09 08:00:00,271.4,1.2213
2026-08-09 09:00:00,534.9,2.4070500000000004
2026-08-09 10:00:00,738.7,3.32415
2026-08-09 11:00:00,847.9,3.8155499999999996
2026-08-09 12:00:00,957.5,4.30875
2026-08-09 13:00:00,949.7,4.27365
2026-08-09 14:00:00,866.4,3.8988
2026-08-09 15:00:00,713.3,3.20985
2026-08-09 16:00:00,531.2,2.3904
2026-08-09 17:00:00,324.2,1.4589
2026-08-09 18:00:00,175.9,0.79155
2026-08-09 19:00:00,132.8,0.5976
2026-08-09 20:00:00,69.5,0.31275
2026-08-09 21:00:00,9.7,0.04365
2026-08-09 22:00:00,0.0,0.0
2026-08-09 23:00:00,0.0,0.0
2026-08-10 00:00:00,0.0,0.0
2026-08-10 01:00:00,0.0,0.0
2026-08-10 02:00:00,0.0,0.0
2026-08-10 03:00:00,0.0,0.0
2026-08-10 04:00:00,0.0,0.0
2026-08-10 05:00:00,0.0,0.0
2026-08-10 06:00:00,0.0,0.0
2026-08-10 07:00:00,57.1,0.25695
2026-08-10 08:00:00,294.0,1.323
2026-08-10 09:00:00,535.0,2.4074999999999998
2026-08-10 10:00:00,739.9,3.3295500000000002
2026-08-10 11:00:00,884.2,3.9789000000000003
2026-08-10 12:00:00,955.8,4.3011
2026-08-10 13:00:00,944.4,4.2498000000000005
2026-08-10 14:00:00,838.5,3.77325
2026-08-10 15:00:00,603.6,2.7161999999999997
2026-08-10 16:00:00,455.7,2.05065
2026-08-10 17:00:00,313.7,1.41165
2026-08-10 18:00:00,119.2,0.5364
2026-08-10 19:00:00,72.7,0.32715
2026-08-10 20:00:00,46.7,0.21015
2026-08-10 21:00:00,11.7,0.05265
2026-08-10 22:00:00,0.0,0.0
2026-08-10 23:00:00,0.0,0.0
