datetime,power
2026-08-14 00:00:00,0.0
2026-08-14 00:15:00,0.0
2026-08-14 00:30:00,0.0
2026-08-14 00:45:00,0.0
2026-08-14 01:00:00,0.0
2026-08-14 01:15:00,0.0
2026-08-14 01:30:00,0.0
2026-08-14 01:45:00,0.0
2026-08-14 02:00:00,0.0
2026-08-14 02:15:00,0.0
2026-08-14 02:30:00,0.0
2026-08-14 02:45:00,0.0
2026-08-14 03:00:00,0.0
2026-08-14 03:15:00,0.0
2026-08-14 03:30:00,0.0
2026-08-14 03:45:00,0.0
2026-08-14 04:00:00,0.0
2026-08-14 04:15:00,0.0
2026-08-14 04:30:00,0.0
2026-08-14 04:45:00,0.0
2026-08-14 05:00:00,0.0
2026-08-14 05:15:00,0.0
2026-08-14 05:30:00,0.0
2026-08-14 05:45:00,0.0
2026-08-14 06:00:00,0.011
2026-08-14 06:15:00,0.051
2026-08-14 06:30:00,0.125
2026-08-14 06:45:00,0.547
2026-08-14 07:00:00,1.033
2026-08-14 07:15:00,1.415
2026-08-14 07:30:00,1.753
2026-08-14 07:45:00,2.069
2026-08-14 08:00:00,2.348
2026-08-14 08:15:00,2.629
2026-08-14 08:30:00,2.856
2026-08-14 08:45:00,3.072
2026-08-14 09:00:00,3.313
2026-08-14 09:15:00,3.496
2026-08-14 09:30:00,3.675
2026-08-14 09:45:00,3.932
2026-08-14 10:00:00,4.336
2026-08-14 10:15:00,4.849
2026-08-14 10:30:00,5.387
2026-08-14 10:45:00,5.859
2026-08-14 11:00:00,6.318
2026-08-14 11:15:00,6.79
2026-08-14 11:30:00,7.226
2026-08-14 11:45:00,7.528
2026-08-14 12:00:00,7.798
2026-08-14 12:15:00,8.07
2026-08-14 12:30:00,8.34
2026-08-14 12:45:00,8.507
2026-08-14 13:00:00,8.636
2026-08-14 13:15:00,8.755
2026-08-14 13:30:00,8.809
2026-08-14 13:45:00,8.864
2026-08-14 14:00:00,8.842
2026-08-14 14:15:00,8.809
2026-08-14 14:30:00,8.743
2026-08-14 14:45:00,8.545
2026-08-14 15:00:00,8.29
2026-08-14 15:15:00,7.974
2026-08-14 15:30:00,7.458
2026-08-14 15:45:00,7.256
2026-08-14 16:00:00,6.542
2026-08-14 16:15:00,5.391
2026-08-14 16:30:00,4.887
2026-08-14 16:45:00,4.582
2026-08-14 17:00:00,4.356
2026-08-14 17:15:00,4.013
2026-08-14 17:30:00,3.742
2026-08-14 17:45:00,3.459
2026-08-14 18:00:00,3.159
2026-08-14 18:15:00,2.738
2026-08-14 18:30:00,2.007
2026-08-14 18:45:00,1.347
2026-08-14 19:00:00,0.905
2026-08-14 19:15:00,0.404
2026-08-14 19:30:00,0.204
2026-08-14 19:45:00,0.142
2026-08-14 20:00:00,0.097
2026-08-14 20:15:00,0.055
2026-08-14 20:30:00,0.021
2026-08-14 20:45:00,0.0
2026-08-14 21:00:00,0.0
2026-08-14 21:15:00,0.0
2026-08-14 21:30:00,0.0
2026-08-14 21:45:00,0.0
2026-08-14 22:00:00,0.0
2026-08-14 22:15:00,0.0
2026-08-14 22:30:00,0.0
2026-08-14 22:45:00,0.0
2026-08-14 23:00:00,0.0
2026-08-14 23:15:00,0.0
2026-08-14 23:30:00,0.0
2026-08-14 23:45:00,0.0
