datetime,irradiance,power
2026-09-21 00:00:00,0.0,0.0
2026-09-21 01:00:00,0.0,0.0
2026-09-21 02:00:00,0.0,0.0
2026-09-21 03:00:00,0.0,0.0
2026-09-21 04:00:00,0.0,0.0
2026-09-21 05:00:00,0.0,0.0
2026-09-21 06:00:00,0.0,0.0
2026-09-21 07:00:00,0.0,0.0
2026-09-21 08:00:00,18.5,0.08325
2026-09-21 09:00:00,124.9,0.56205
2026-09-21 10:00:00,319.8,1.4391
2026-09-21 11:00:00,428.4,1.9278
2026-09-21 12:00:00,483.1,2.17395
2026-09-21 13:00:00,699.0,3.1455
2026-09-21 14:00:00,564.9,2.54205
2026-09-21 15:00:00,408.9,1.8400500000000002
2026-09-21 16:00:00,308.4,1.3878000000000001
2026-09-21 17:00:00,214.6,0.9657
2026-09-21 18:00:00,107.2,0.48240000000000005
2026-09-21 19:00:00,56.8,0.2556
2026-09-21 20:00:00,3.5,0.015750000000000004
2026-09-21 21:00:00,0.0,0.0
2026-09-21 22:00:00,0.0,0.0
2026-09-21 23:00:00,0.0,0.0
2026-09-22 00:00:00,0.0,0.0
2026-09-22 01:00:00,0.0,0.0
2026-09-22 02:00:00,0.0,0.0
2026-09-22 03:00:00,0.0,0.0
2026-09-22 04:00:00,0.0,0.0
2026-09-22 05:00:00,0.0,0.0
2026-09-22 06:00:00,0.0,0.0
2026-09-22 07:00:00,0.0,0.0
2026-09-22 08:00:00,68.0,0.30600000000000005
2026-09-22 09:00:00,340.9,1.53405
2026-09-22 10:00:00,611.3,2.7508500000000002
2026-09-22 11:00:00,700.5,3.15225
2026-09-22 12:00:00,715.4,3.2193
2026-09-22 13:00:00,684.5,3.08025
2026-09-22 14:00:00,678.8,3.0546
2026-09-22 15:00:00,600.9,2.70405
2026-09-22 16:00:00,419.6,1.8881999999999999
2026-09-22 17:00:00,224.2,1.0089000000000001
2026-09-22 18:00:00,97.1,0.43695
2026-09-22 19:00:00,44.9,0.20205
2026-09-22 20:00:00,2.6,0.0117
2026-09-22 21:00:00,0.0,0.0
2026-09-22 22:00:00,0.0,0.0
2026-09-22 23:00:00,0.0,0.0
