datetime,power
2026-08-08 00:00:00,0.0
2026-08-08 00:15:00,0.0
2026-08-08 00:30:00,0.0
2026-08-08 00:45:00,0.0
2026-08-08 01:00:00,0.0
2026-08-08 01:15:00,0.0
2026-08-08 01:30:00,0.0
2026-08-08 01:45:00,0.0
2026-08-08 02:00:00,0.0
2026-08-08 02:15:00,0.0
2026-08-08 02:30:00,0.0
2026-08-08 02:45:00,0.0
2026-08-08 03:00:00,0.0
2026-08-08 03:15:00,0.0
2026-08-08 03:30:00,0.0
2026-08-08 03:45:00,0.0
2026-08-08 04:00:00,0.0
2026-08-08 04:15:00,0.0
2026-08-08 04:30:00,0.0
2026-08-08 04:45:00,0.0
2026-08-08 05:00:00,0.0
2026-08-08 05:15:00,0.0
2026-08-08 05:30:00,0.0
2026-08-08 05:45:00,0.001
2026-08-08 06:00:00,0.034
2026-08-08 06:15:00,0.086
2026-08-08 06:30:00,0.139
2026-08-08 06:45:00,0.242
2026-08-08 07:00:00,0.96
2026-08-08 07:15:00,1.422
2026-08-08 07:30:00,1.744
2026-08-08 07:45:00,2.054
2026-08-08 08:00:00,2.358
2026-08-08 08:15:00,2.612
2026-08-08 08:30:00,2.896
2026-08-08 08:45:00,3.1
2026-08-08 09:00:00,3.341
2026-08-08 09:15:00,3.54
2026-08-08 09:30:00,3.727
2026-08-08 09:45:00,4.048
2026-08-08 10:00:00,4.461
2026-08-08 10:15:00,4.905
2026-08-08 10:30:00,5.452
2026-08-08 10:45:00,5.937
2026-08-08 11:00:00,6.352
2026-08-08 11:15:00,6.82
2026-08-08 11:30:00,7.229
2026-08-08 11:45:00,7.51
2026-08-08 12:00:00,7.882
2026-08-08 12:15:00,8.181
2026-08-08 12:30:00,8.405
2026-08-08 12:45:00,8.611
2026-08-08 13:00:00,8.736
2026-08-08 13:15:00,8.767
2026-08-08 13:30:00,8.869
2026-08-08 13:45:00,8.929
2026-08-08 14:00:00,9.004
2026-08-08 14:15:00,8.896
2026-08-08 14:30:00,8.845
2026-08-08 14:45:00,8.747
2026-08-08 15:00:00,8.525
2026-08-08 15:15:00,8.156
2026-08-08 15:30:00,7.854
2026-08-08 15:45:00,7.401
2026-08-08 16:00:00,6.57
2026-08-08 16:15:00,5.937
2026-08-08 16:30:00,5.112
2026-08-08 16:45:00,4.823
2026-08-08 17:00:00,4.58
2026-08-08 17:15:00,4.311
2026-08-08 17:30:00,4.129
2026-08-08 17:45:00,3.972
2026-08-08 18:00:00,3.471
2026-08-08 18:15:00,3.011
2026-08-08 18:30:00,2.501
2026-08-08 18:45:00,1.542
2026-08-08 19:00:00,1.001
2026-08-08 19:15:00,0.35
2026-08-08 19:30:00,0.307
2026-08-08 19:45:00,0.232
2026-08-08 20:00:00,0.171
2026-08-08 20:15:00,0.096
2026-08-08 20:30:00,0.049
2026-08-08 20:45:00,0.016
2026-08-08 21:00:00,0.0
2026-08-08 21:15:00,0.0
2026-08-08 21:30:00,0.0
2026-08-08 21:45:00,0.0
2026-08-08 22:00:00,0.0
2026-08-08 22:15:00,0.0
2026-08-08 22:30:00,0.0
2026-08-08 22:45:00,0.0
2026-08-08 23:00:00,0.0
2026-08-08 23:15:00,0.0
2026-08-08 23:30:00,0.0
2026-08-08 23:45:00,0.0
