datetime,power
2026-08-18 00:00:00,0.0
2026-08-18 00:15:00,0.0
2026-08-18 00:30:00,0.0
2026-08-18 00:45:00,0.0
2026-08-18 01:00:00,0.0
2026-08-18 01:15:00,0.0
2026-08-18 01:30:00,0.0
2026-08-18 01:45:00,0.0
2026-08-18 02:00:00,0.0
2026-08-18 02:15:00,0.0
2026-08-18 02:30:00,0.0
2026-08-18 02:45:00,0.0
2026-08-18 03:00:00,0.0
2026-08-18 03:15:00,0.0
2026-08-18 03:30:00,0.0
2026-08-18 03:45:00,0.0
2026-08-18 04:00:00,0.0
2026-08-18 04:15:00,0.0
2026-08-18 04:30:00,0.0
2026-08-18 04:45:00,0.0
2026-08-18 05:00:00,0.0
2026-08-18 05:15:00,0.0
2026-08-18 05:30:00,0.0
2026-08-18 05:45:00,0.0
2026-08-18 06:00:00,0.0
2026-08-18 06:15:00,0.014
2026-08-18 06:30:00,0.037
2026-08-18 06:45:00,0.074
2026-08-18 07:00:00,0.091
2026-08-18 07:15:00,0.03
2026-08-18 07:30:00,0.027
2026-08-18 07:45:00,0.066
2026-08-18 08:00:00,0.173
2026-08-18 08:15:00,0.294
2026-08-18 08:30:00,0.244
2026-08-18 08:45:00,0.36
2026-08-18 09:00:00,0.649
2026-08-18 09:15:00,0.579
2026-08-18 09:30:00,0.539
2026-08-18 09:45:00,0.884
2026-08-18 10:00:00,1.107
2026-08-18 10:15:00,0.781
2026-08-18 10:30:00,0.869
2026-08-18 10:45:00,1.856
2026-08-18 11:00:00,1.56
2026-08-18 11:15:00,1.525
2026-08-18 11:30:00,1.467
2026-08-18 11:45:00,0.617
2026-08-18 12:00:00,0.368
2026-08-18 12:15:00,0.726
2026-08-18 12:30:00,0.757
2026-08-18 12:45:00,0.93
2026-08-18 13:00:00,2.48
2026-08-18 13:15:00,2.664
2026-08-18 13:30:00,2.958
2026-08-18 13:45:00,2.241
2026-08-18 14:00:00,3.655
2026-08-18 14:15:00,3.527
2026-08-18 14:30:00,2.742
2026-08-18 14:45:00,2.88
2026-08-18 15:00:00,5.436
2026-08-18 15:15:00,3.43
2026-08-18 15:30:00,1.237
2026-08-18 15:45:00,0.798
2026-08-18 16:00:00,1.195
2026-08-18 16:15:00,1.923
2026-08-18 16:30:00,0.748
2026-08-18 16:45:00,1.0
2026-08-18 17:00:00,0.916
2026-08-18 17:15:00,0.724
2026-08-18 17:30:00,0.502
2026-08-18 17:45:00,0.452
2026-08-18 18:00:00,0.181
2026-08-18 18:15:00,0.15
2026-08-18 18:30:00,0.122
2026-08-18 18:45:00,0.078
2026-08-18 19:00:00,0.09
2026-08-18 19:15:00,0.057
2026-08-18 19:30:00,0.046
2026-08-18 19:45:00,0.055
2026-08-18 20:00:00,0.03
2026-08-18 20:15:00,0.01
2026-08-18 20:30:00,0.0
2026-08-18 20:45:00,0.0
2026-08-18 21:00:00,0.0
2026-08-18 21:15:00,0.0
2026-08-18 21:30:00,0.0
2026-08-18 21:45:00,0.0
2026-08-18 22:00:00,0.0
2026-08-18 22:15:00,0.0
2026-08-18 22:30:00,0.0
2026-08-18 22:45:00,0.0
2026-08-18 23:00:00,0.0
2026-08-18 23:15:00,0.0
2026-08-18 23:30:00,0.0
2026-08-18 23:45:00,0.0
