datetime,power
2026-08-26 00:00:00,0.0
2026-08-26 00:15:00,0.0
2026-08-26 00:30:00,0.0
2026-08-26 00:45:00,0.0
2026-08-26 01:00:00,0.0
2026-08-26 01:15:00,0.0
2026-08-26 01:30:00,0.0
2026-08-26 01:45:00,0.0
2026-08-26 02:00:00,0.0
2026-08-26 02:15:00,0.0
2026-08-26 02:30:00,0.0
2026-08-26 02:45:00,0.0
2026-08-26 03:00:00,0.0
2026-08-26 03:15:00,0.0
2026-08-26 03:30:00,0.0
2026-08-26 03:45:00,0.0
2026-08-26 04:00:00,0.0
2026-08-26 04:15:00,0.0
2026-08-26 04:30:00,0.0
2026-08-26 04:45:00,0.0
2026-08-26 05:00:00,0.0
2026-08-26 05:15:00,0.0
2026-08-26 05:30:00,0.0
2026-08-26 05:45:00,0.0
2026-08-26 06:00:00,0.0
2026-08-26 06:15:00,0.006
2026-08-26 06:30:00,0.034
2026-08-26 06:45:00,0.089
2026-08-26 07:00:00,0.503
2026-08-26 07:15:00,0.881
2026-08-26 07:30:00,1.378
2026-08-26 07:45:00,2.47
2026-08-26 08:00:00,0.932
2026-08-26 08:15:00,0.688
2026-08-26 08:30:00,0.84
2026-08-26 08:45:00,1.05
2026-08-26 09:00:00,1.261
2026-08-26 09:15:00,2.351
2026-08-26 09:30:00,1.798
2026-08-26 09:45:00,3.402
2026-08-26 10:00:00,4.338
2026-08-26 10:15:00,3.167
2026-08-26 10:30:00,4.008
2026-08-26 10:45:00,5.626
2026-08-26 11:00:00,6.454
2026-08-26 11:15:00,6.788
2026-08-26 11:30:00,7.339
2026-08-26 11:45:00,7.563
2026-08-26 12:00:00,6.434
2026-08-26 12:15:00,7.423
2026-08-26 12:30:00,3.515
2026-08-26 12:45:00,2.716
2026-08-26 13:00:00,9.489
2026-08-26 13:15:00,8.941
2026-08-26 13:30:00,7.241
2026-08-26 13:45:00,4.007
2026-08-26 14:00:00,9.382
2026-08-26 14:15:00,7.093
2026-08-26 14:30:00,6.127
2026-08-26 14:45:00,6.784
2026-08-26 15:00:00,8.042
2026-08-26 15:15:00,7.603
2026-08-26 15:30:00,6.697
2026-08-26 15:45:00,5.908
2026-08-26 16:00:00,4.907
2026-08-26 16:15:00,3.093
2026-08-26 16:30:00,3.462
2026-08-26 16:45:00,3.092
2026-08-26 17:00:00,2.742
2026-08-26 17:15:00,2.376
2026-08-26 17:30:00,2.284
2026-08-26 17:45:00,2.262
2026-08-26 18:00:00,2.008
2026-08-26 18:15:00,1.698
2026-08-26 18:30:00,1.04
2026-08-26 18:45:00,0.614
2026-08-26 19:00:00,0.403
2026-08-26 19:15:00,0.304
2026-08-26 19:30:00,0.203
2026-08-26 19:45:00,0.097
2026-08-26 20:00:00,0.03
2026-08-26 20:15:00,0.0
2026-08-26 20:30:00,0.0
2026-08-26 20:45:00,0.0
2026-08-26 21:00:00,0.0
2026-08-26 21:15:00,0.0
2026-08-26 21:30:00,0.0
2026-08-26 21:45:00,0.0
2026-08-26 22:00:00,0.0
2026-08-26 22:15:00,0.0
2026-08-26 22:30:00,0.0
2026-08-26 22:45:00,0.0
2026-08-26 23:00:00,0.0
2026-08-26 23:15:00,0.0
2026-08-26 23:30:00,0.0
2026-08-26 23:45:00,0.0
